R 01001100110101001110001001100111    R 01001100110101001110001101100111    R 01001100110101001110010001100111    R 01001100110101001110010101100111
R 01001100110101001110001001101000    R 01001100110101001110001101101000    R 01001100110101001110010001101000    R 01001100110101001110010101101000
R 01001100110101001110001001101001    R 01001100110101001110001101101001    R 01001100110101001110010001101001    R 01001100110101001110010101101001
R 01001100110101001110001001101010    R 01001100110101001110001101101010    R 01001100110101001110010001101010    R 01001100110101001110010101101010
R 01001100110101001110001001101011    R 01001100110101001110001101101011    R 01001100110101001110010001101011    R 01001100110101001110010101101011
R 01001100110101001110001001101100    R 01001100110101001110001101101100    R 01001100110101001110010001101100    R 01001100110101001110010101101100
R 01001100110101001110001001101101    R 01001100110101001110001101101101    R 01001100110101001110010001101101    R 01001100110101001110010101101101
R 01001100110101001110001001101110    R 01001100110101001110001101101110    R 01001100110101001110010001101110    R 01001100110101001110010101101110
R 01001100110101001110001001101111    R 01001100110101001110001101101111    R 01001100110101001110010001101111    R 01001100110101001110010101101111
R 01001100110101001110001001110000    R 01001100110101001110001101110000    R 01001100110101001110010001110000    R 01001100110101001110010101110000
R 01001100110101001110001001110001    R 01001100110101001110001101110001    R 01001100110101001110010001110001    R 01001100110101001110010101110001
R 01001100110101001110001001110010    R 01001100110101001110001101110010    R 01001100110101001110010001110010    R 01001100110101001110010101110010
R 01001100110101001110001001110011    R 01001100110101001110001101110011    R 01001100110101001110010001110011    R 01001100110101001110010101110011
R 01001100110101001110001001110100    R 01001100110101001110001101110100    R 01001100110101001110010001110100    R 01001100110101001110010101110100
R 01001100110101001110001001110101    R 01001100110101001110001101110101    R 01001100110101001110010001110101    R 01001100110101001110010101110101
R 01001100110101001110001001110110    R 01001100110101001110001101110110    R 01001100110101001110010001110110    R 01001100110101001110010101110110
R 01001100110101001110001001110111    R 01001100110101001110001101110111    R 01001100110101001110010001110111    R 01001100110101001110010101110111
R 01001100110101001110001001111000    R 01001100110101001110001101111000    R 01001100110101001110010001111000    R 01001100110101001110010101111000
R 01001100110101001110001001111001    R 01001100110101001110001101111001    R 01001100110101001110010001111001    R 01001100110101001110010101111001
R 01001100110101001110001001111010    R 01001100110101001110001101111010    R 01001100110101001110010001111010    R 01001100110101001110010101111010
R 01001100110101001110001001111011    R 01001100110101001110001101111011    R 01001100110101001110010001111011    R 01001100110101001110010101111011
R 01001100110101001110001001111100    R 01001100110101001110001101111100    R 01001100110101001110010001111100    R 01001100110101001110010101111100
R 01001100110101001110001001111101    R 01001100110101001110001101111101    R 01001100110101001110010001111101    R 01001100110101001110010101111101
R 01001100110101001110001001111110    R 01001100110101001110001101111110    R 01001100110101001110010001111110    R 01001100110101001110010101111110
R 01001100110101001110001001111111    R 01001100110101001110001101111111    R 01001100110101001110010001111111    R 01001100110101001110010101111111
R 01001100110101001110001010000000    R 01001100110101001110001110000000    R 01001100110101001110010010000000    R 01001100110101001110010110000000
R 01001100110101001110001010000001    R 01001100110101001110001110000001    R 01001100110101001110010010000001    R 01001100110101001110010110000001
R 01001100110101001110001010000010    R 01001100110101001110001110000010    R 01001100110101001110010010000010    R 01001100110101001110010110000010
R 01001100110101001110001010000011    R 01001100110101001110001110000011    R 01001100110101001110010010000011    R 01001100110101001110010110000011
R 01001100110101001110001010000100    R 01001100110101001110001110000100    R 01001100110101001110010010000100    R 01001100110101001110010110000100
R 01001100110101001110001010000101    R 01001100110101001110001110000101    R 01001100110101001110010010000101    R 01001100110101001110010110000101
R 01001100110101001110001010000110    R 01001100110101001110001110000110    R 01001100110101001110010010000110    R 01001100110101001110010110000110
R 01001100110101001110001010000111    R 01001100110101001110001110000111    R 01001100110101001110010010000111    R 01001100110101001110010110000111
R 01001100110101001110001010001000    R 01001100110101001110001110001000    R 01001100110101001110010010001000    R 01001100110101001110010110001000
R 01001100110101001110001010001001    R 01001100110101001110001110001001    R 01001100110101001110010010001001    R 01001100110101001110010110001001
R 01001100110101001110001010001010    R 01001100110101001110001110001010    R 01001100110101001110010010001010    R 01001100110101001110010110001010
R 01001100110101001110001010001011    R 01001100110101001110001110001011    R 01001100110101001110010010001011    R 01001100110101001110010110001011
R 01001100110101001110001010001100    R 01001100110101001110001110001100    R 01001100110101001110010010001100    R 01001100110101001110010110001100
R 01001100110101001110001010001101    R 01001100110101001110001110001101    R 01001100110101001110010010001101    R 01001100110101001110010110001101
R 01001100110101001110001010001110    R 01001100110101001110001110001110    R 01001100110101001110010010001110    R 01001100110101001110010110001110
R 01001100110101001110001010001111    R 01001100110101001110001110001111    R 01001100110101001110010010001111    R 01001100110101001110010110001111
R 01001100110101001110001010010000    R 01001100110101001110001110010000    R 01001100110101001110010010010000    R 01001100110101001110010110010000
R 01001100110101001110001010010001    R 01001100110101001110001110010001    R 01001100110101001110010010010001    R 01001100110101001110010110010001
R 01001100110101001110001010010010    R 01001100110101001110001110010010    R 01001100110101001110010010010010    R 01001100110101001110010110010010
